STT,Mã ICD-10,Tên bệnh (Tiếng Việt),Chương,Khối mã,Không làm bệnh chính,Chỉ Nữ,Chỉ Nam
1,A00,Cholera Bệnh tả A00 parasitic diseases ký sinh trùng diseases đường ruột,I,A00-B99,0,0,0
2,A00.0,"Cholera due to Classical cholera Bệnh tả do vi khuẩn Vibrio Bệnh tả cổ điển parasitic diseases ký sinh trùng diseases đường ruột Vibrio cholerae 01, cholerae 01, típ sinh học biovar cholerae cholerae",I,A00-B99,0,0,0
3,A00.1,"Cholera due to Cholera eltor Bệnh tả do Vibrio cholerae Bệnh tả eltor parasitic diseases ký sinh trùng diseases đường ruột Vibrio cholerae 01, 01, típ sinh học eltor biovar eltor",I,A00-B99,0,0,0
4,A00.9,"Cholera, unspecified Bệnh tả, không xác định parasitic diseases ký sinh trùng diseases đường ruột",I,A00-B99,0,0,0
5,A01,Typhoid and Bệnh thương hàn và/hoặc A01 parasitic diseases ký sinh trùng diseases đường ruột paratyphoid fevers hàn và/hoặc paratyphoid fevers bệnh phó thương hàn bệnh phó thương hàn,I,A00-B99,0,0,0
6,A01.0,Typhoid fever Infection due to Bệnh thương hàn Nhiễm trùng do vi parasitic diseases ký sinh trùng diseases đường ruột paratyphoid fevers hàn và/hoặc Salmonella typhi khuẩn Salmonella bệnh phó typhi th,I,A00-B99,0,0,0
7,A01.1,Paratyphoid fever Bệnh phó thương hàn A parasitic diseases ký sinh trùng diseases đường ruột paratyphoid fevers hàn và/hoặc A bệnh phó thương hàn,I,A00-B99,0,0,0
8,A01.2,Paratyphoid fever B Bệnh phó thương hàn B parasitic diseases ký sinh trùng diseases đường ruột paratyphoid fevers hàn và/hoặc bệnh phó thương hàn,I,A00-B99,0,0,0
9,A01.3,Paratyphoid fever C Bệnh phó thương hàn C parasitic diseases ký sinh trùng diseases đường ruột paratyphoid fevers hàn và/hoặc bệnh phó thương hàn,I,A00-B99,0,0,0
10,A01.4,"Paratyphoid fever, Infection due to Bệnh phó thương hàn, Nhiễm trùng do vi parasitic diseases ký sinh trùng diseases đường ruột paratyphoid fevers hàn và/hoặc unspecified Salmonella paratyphi không xá",I,A00-B99,0,0,0
11,A02,Other salmonella Incl.: infection or Nhiễm Salmonella khác Bao gồm: nhiễm A02 parasitic diseases ký sinh trùng diseases đường ruột infections Salmonella khác infections foodborne intoxication trùng ho,I,A00-B99,0,0,0
12,A02.0,Salmonella Salmonellosis Viêm ruột do Salmonella Nhiễm Salmonella parasitic diseases ký sinh trùng diseases đường ruột infections Salmonella khác enteritis,I,A00-B99,0,0,0
13,A02.1,Salmonella sepsis Nhiễm trùng hệ thống do parasitic diseases ký sinh trùng diseases đường ruột infections Salmonella khác Salmonella,I,A00-B99,0,0,0
14,A02.2,Localized Salmonella: Nhiễm Salmonella khu trú Do Salmonella: parasitic diseases ký sinh trùng diseases đường ruột infections Salmonella khác salmonella arthritis† (M01.3*) + viêm khớp† infections men,I,A00-B99,0,0,0
15,A02.8,Other specified Nhiễm trùng Salmonella parasitic diseases ký sinh trùng diseases đường ruột infections Salmonella khác salmonella xác định khác infections,I,A00-B99,0,0,0
16,A02.9,"Salmonella Nhiễm trùng Salmonella, parasitic diseases ký sinh trùng diseases đường ruột infections Salmonella khác infection, không xác định unspecified",I,A00-B99,0,0,0
17,A03,Shigellosis Bệnh lỵ trực khuẩn A03 parasitic diseases ký sinh trùng diseases đường ruột khuẩn,I,A00-B99,0,0,0
18,A03.0,Shigellosis due to Group A shigellosis Bệnh lỵ trực khuẩn do Bệnh lỵ trực parasitic diseases ký sinh trùng diseases đường ruột khuẩn Shigella [Shiga-Kruse dysentery] Shigella dysenteriae khuẩn nhóm A ,I,A00-B99,0,0,0
19,A03.1,Shigellosis due to Group B shigellosis Bệnh lỵ trực khuẩn do Bệnh lỵ trực parasitic diseases ký sinh trùng diseases đường ruột khuẩn Shigella flexneri Shigella flexneri khuẩn nhóm B,I,A00-B99,0,0,0
20,A03.2,Shigellosis due to Group C shigellosis Bệnh lỵ trực khuẩn do Bệnh lỵ trực parasitic diseases ký sinh trùng diseases đường ruột khuẩn Shigella boydii Shigella boydii khuẩn nhóm C,I,A00-B99,0,0,0
21,A03.3,Shigellosis due to Group D shigellosis Bệnh lỵ trực khuẩn do Bệnh lỵ trực parasitic diseases ký sinh trùng diseases đường ruột khuẩn Shigella sonnei Shigella sonnei khuẩn nhóm D,I,A00-B99,0,0,0
22,A03.8,Other shigellosis Bệnh lỵ trực khuẩn do parasitic diseases ký sinh trùng diseases đường ruột khuẩn Shigella khác,I,A00-B99,0,0,0
23,A03.9,"Shigellosis, Bacillary dysentery Bệnh lỵ trực khuẩn, không Bệnh lỵ trực parasitic diseases ký sinh trùng diseases đường ruột khuẩn unspecified NOS xác định khuẩn hình que không xác định",I,A00-B99,0,0,0
24,A04,Other bacterial Excl.: Nhiễm trùng đường ruột Loại trừ: A04 parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do intestinal infections foodborne do vi khuẩn khác - nhiễm độc t,I,A00-B99,0,0,0
25,A04.0,Enteropathogenic Nhiễm khuẩn Escherichia parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do Escherichia coli coli gây bệnh đường ruột infections vi khuẩn khác infection,I,A00-B99,0,0,0
